,,Dc,District,Region,,,
25,UMAS000 Massawe Grocery               ,UMAS000 Massawe Grocery,mwendapole,Central,,,
26,PDOR006 Doris Aminiel Sasai           ,PDOR006 Doris Aminiel Sasai,MKURANGA,Central,,,
27,PKAU002 Kauleti Inn                   ,PKAU002 Kauleti Inn,KISARAWE,Central,,,
28,PNEE001 Neema Peter Assenga           ,PNEE001 Neema Peter Assenga,GAIRO,Central,,,
29,PSOP001 Sophia John Mgeni             ,PSOP001 Sophia John Mgeni,MTERA,Central,,,
30,PSUZ001 Suzan Jackson Mgonde          ,PSUZ001 Suzan Jackson Mgonde,MPWAWA,Central,,,
31,PWAZ002 Wazo Road Haulage Ltd-Bagamoyo,PWAZ002 Wazo Road Haulage Ltd-Bagamoyo,BAGAMOYO,Central,,,
,,,,,,,
32,ASET002 Setway Investment Co. Ltd,ASET002 Setway Investment Co. Ltd,Kilimanjaro,North East,,,
33,BMAR000 Mary Dorin Kimario,BMAR000 Mary Dorin Kimario,Kilimanjaro,North East,,,
34,AEDW000 Edward Shayo,AEDW000 Edward Shayo,Kilimanjaro,North East,,,
35,BKAS000 Igos Enterprises Limited,BKAS000 Igos Enterprises Limited,Kilimanjaro,North East,,,
36,AIZA005 Izack Sylvester Temu,AIZA005 Izack Sylvester Temu,Kilimanjaro,North East,,,
37,AHER001 Hermenegilg Leiya Mtenga,AHER001 Hermenegilg Leiya Mtenga,Kilimanjaro,North East,,,
38,ALYA000 Lyakundi Investments,ALYA000 Lyakundi Investments,Tanga,North East,,,
39,CMAG001 Magpie Distributors Co.Ltd,CMAG001 Magpie Distributors Co.Ltd,Tanga,North East,,,
40,AKIO000 Kiomboi General Store Limited,AKIO000 Kiomboi General Store Limited,Singida,North East,,,
41,AJAK007 Nzitu Trading Co. Ltd,AJAK007 Nzitu Trading Co. Ltd,Singida,North East,,,
42,AMAI014 Maina Holdings Ltd,AMAI014 Maina Holdings Ltd,Arusha,North East,,,
43,AKIJ003 Kijuna Investment Ltd,AKIJ003 Kijuna Investment Ltd,Arusha,North East,,,
44,AFRA002 Fresa Investment Ltd,AFRA002 Fresa Investment Ltd,Arusha,North East,,,
45,APIU000 PV-Enterprises + G. Supplies,APIU000 PV-Enterprises + G. Supplies,Arusha,North East,,,
46,ADOU000 Double Bg (2014) Investment,ADOU000 Double Bg (2014) Investment,Arusha,North East,,,
47,AARE004 Arenest Shirima,AARE004 Arenest Shirima,Arusha,North East,,,
48,AJJL000 JVJ Lombury Limited,AJJL000 JVJ Lombury Limited,Arusha,North East,,,
49,ASAM005 Samwel Kastuli,ASAM005 Samwel Kastuli,Arusha,North East,,,
50,AGOD005 Y & H Enterprises,AGOD005 Y & H Enterprises,Arusha,North East,,,
51,AMAR000 Marimark Investments Co Ltd,AMAR000 Marimark Investments Co Ltd,Arusha,North East,,,
52,ANIC000 Kondoa General Supplies,ANIC000 Kondoa General Supplies,Dodoma,North East,Need to confirm this with client since dodoma is in central,,
53,AMIS001 Miswe General Enterprises,AMIS001 Miswe General Enterprises,Dodoma,North East,Need to confirm this with client since dodoma is in central,,
54,ASPR000 Sprad Traders Ltd,ASPR000 Sprad Traders Ltd,Manyara,North East,,,
,,,,,,,
55,HTAR001 Julius G Co Ltd,HTAR001 Julius G Co Ltd,Mara,North West,,,
56,HMEH028 Mehboob Jaffer + Imtiaz Jaffer,HMEH028 Mehboob Jaffer + Imtiaz Jaffer,Mara,North West,,,
57,HKIB004 Kibo Boys Com Centre- Kigoma,HKIB004 Kibo Boys Com Centre- Kigoma,Kigoma,North West,,,
58,KLIN000 Linus Sumbua Mathew,KLIN000 Linus Sumbua Mathew,Kagera,North West,,,
59,KMBE000 Mbekomize + Sons Co Ltd,KMBE000 Mbekomize + Sons Co Ltd,Kagera,North West,,,
60,HDIS001 Dismas William Mushi,HDIS001 Dismas William Mushi,Mwanza,North West,,,
61,HSTA003 Stanza(17) Investment Co Ltd,HSTA003 Stanza(17) Investment Co Ltd,Mwanza,North West,,,
62,HSAS016 Sas Stanley Trading Inv Ltd,HSAS016 Sas Stanley Trading Inv Ltd,Mwanza,North West,,,
63,HPAS002 Paschal Ngeni Sengerema,HPAS002 Paschal Ngeni Sengerema,Mwanza,North West,,,
64,HNZE001 Nzella Company Ltd,HNZE001 Nzella Company Ltd,Shinyanga,North West,,,
65,JFRA000 Francis Andrea Shikimayi,JFRA000 Francis Andrea Shikimayi,Shinyanga,North West,,,
66,JGRA007 Grace Onesphory Shayo,JGRA007 Grace Onesphory Shayo,Shinyanga,North West,,,
67,IDOR000 Doroth Mosha,IDOR000 Doroth Mosha,Shinyanga,North West,,,
68,HELI000 Elizeus Cronery Rutayuga,HELI000 Elizeus Cronery Rutayuga,Geita,North West,,,
69,HBLU000 Blue Coast Investment Limited,HBLU000 Blue Coast Investment Limited,Geita,North West,,,
70,HABI000 Abiah John Gugah,HABI000 Abiah John Gugah,Simiyu,North West,,,
71,HGEO001 Gageji Company Limited,HGEO001 Gageji Company Limited,Simiyu,North West,,,
72,HASS000 Assenga Associated Company Ltd,HASS000 Assenga Associated Company Ltd,Katavi,North West,,,
73,HLEK001 Lekuni Gen. Enterprises Co Ltd,HLEK001 Lekuni Gen. Enterprises Co Ltd,Tabora,North West,,,
74,HPMD000 Pm Distributors Tabora,HPMD000 Pm Distributors Tabora,Tabora,North West,,,
,,,,,,,
75,SMAK001 Makabev Limited,SMAK001 Makabev Limited,Njombe,South,,,
76,RMEL001 Melick Vintan Mgina,RMEL001 Melick Vintan Mgina,Njombe,South,,,
77,SSWE000 Sweet Test (T) Ltd,SSWE000 Sweet Test (T) Ltd,Iringa,South,,,
78,SSTR000 Stram Investment Ltd,SSTR000 Stram Investment Ltd,Ruvuma,South,,,
79,RITE001 Westsides Company limited,RITE001 Westsides Company limited,Songwe,South,,,
80,RTUN000 Tunduma Investments Ltd,RTUN000 Tunduma Investments Ltd,Songwe,South,,,
81,RANT001 Antony Issa Mtambo,RANT001 Antony Issa Mtambo,Songwe,South,,,
82,RNDI000 Ndiyo United Company Limited,RNDI000 Ndiyo United Company Limited,Mbeya,South,,,
83,RAMB000 Ambakisye Mwampetele,RAMB000 Ambakisye Mwampetele,Mbeya,South,,,
84,ROBE000 Richard Justin Nyaluke,ROBE000 Richard Justin Nyaluke,Mbeya,South,,,
85,RPSM000 Psm Investment Ltd,RPSM000 Psm Investment Ltd,Mbeya,South,,,
86,RFRA000 Frank Michael Mwisa,RFRA000 Frank Michael Mwisa,Mbeya,South,,,
87,SSTR004 Stram Investment Ltd,SSTR004 Stram Investment Ltd,Mbeya,South,,,
88,RJUL000 Julio Fungameza Myovela,RJUL000 Julio Fungameza Myovela,Rukwa,South,,,
89,RLUM000 Lumi Enterprises Co Limited,RLUM000 Lumi Enterprises Co Limited,Rukwa,South,,,
90,PHAD001 Hadija Haruna Kibila,PHAD001 Hadija Haruna Kibila,Lindi,South,,,
91,PCLE001 Briseco General Supply Co. Ltd,PCLE001 Briseco General Supply Co. Ltd,Mtwara,South,,,
92,PJOH008 Kasekele Holding Ltd          ,PJOH008 Kasekele Holding Ltd,IFAKARA,South,,,
93,PSTR001 Stram Investment Ltd          ,PSTR001 Stram Investment Ltd,MTWARA,South,,,
94,PGAS006 Gasper W Masid - Mikumi       ,PGAS006 Gasper W Masid - Mikumi,MIKUMI,South,,,
95,PSTA007 Star & Sons Ltd Lindi         ,PSTA007 Star & Sons Ltd Lindi,LINDI,South,,,
